target,source,id..zero.indexed..,eqtl,hgnc_source,hgnc_target
ENSG00000006788,ENSG00000170270,1013,14_93682932,GON7,MYH13
ENSG00000051596,ENSG00000170089,2716,5_177267396,ENSG00000170089,THOC3
ENSG00000052795,ENSG00000272703,1598,18_11108793,ENSG00000272703,FNIP2
ENSG00000099290,ENSG00000152726,439,10_47959745,ENSG00000152726,WASHC2A
ENSG00000101194,ENSG00000102554,924,13_74110412,KLF5,SLC17A9
ENSG00000101407,ENSG00000155085,2812,6_109882991,AK9,TTI1
ENSG00000103226,ENSG00000254681,1181,16_18245855,PKD1P5,NOMO3
ENSG00000106211,ENSG00000187013,1527,17_59511975,LINC02875,HSPB1
ENSG00000107485,ENSG00000109606,2585,4_24809491,DHX15,GATA3
ENSG00000115548,ENSG00000158169,3533,9_98341712,FANCC,KDM3A
ENSG00000119986,ENSG00000102554,929,13_74110412,KLF5,AVPI1
ENSG00000122497,ENSG00000225241,47,1_144612613,ENSG00000225241,ENSG00000122497
ENSG00000122497,ENSG00000236943,39,1_144521257,ENSG00000236943,ENSG00000122497
ENSG00000132781,ENSG00000265542,1524,17_56155245,ENSG00000265542,MUTYH
ENSG00000149050,ENSG00000167984,1260,16_3589024,NLRC3,ZNF214
ENSG00000149503,ENSG00000227471,3102,7_134261674,AKR1B15,INCENP
ENSG00000149792,ENSG00000196867,1850,19_57050820,ZFP28,MRPL49
ENSG00000162236,ENSG00000180999,139,1_172416860,C1orf105,STX5
ENSG00000163840,ENSG00000197536,2659,5_131789557,IRF1-AS1,DTX3L
ENSG00000170890,ENSG00000165862,377,10_118288309,ENSG00000165862,PLA2G1B
ENSG00000170899,ENSG00000235111,2277,22_50052175,ENSG00000235111,GSTA4
ENSG00000170954,ENSG00000172340,2499,3_67422015,SUCLG2,ZNF415
ENSG00000172058,ENSG00000253203,2746,5_68639267,GUSBP3,SERF1A
ENSG00000174194,ENSG00000188234,420,10_45923528,AGAP4,ENSG00000174194
ENSG00000178222,ENSG00000178177,2575,4_17595598,LCORL,RNF212
ENSG00000178882,ENSG00000169180,1224,16_28167117,XPO6,RFLNA
ENSG00000186466,ENSG00000181997,3509,9_70176768,AQP7P2,AQP7P1
ENSG00000188234,ENSG00000225784,460,10_51586514,ENSG00000225784,AGAP4
ENSG00000188234,ENSG00000174194,458,10_51585752,ENSG00000174194,AGAP4
ENSG00000188801,ENSG00000124549,2871,6_26433329,BTN2A3P,ZNF322P1
ENSG00000196436,ENSG00000261556,1303,16_70285901,SMG1P7,NPIPB15
ENSG00000196576,ENSG00000174529,178,1_205040835,TMEM81,PLXNB2
ENSG00000196656,ENSG00000197728,798,12_56435929,RPS26,ENSG00000196656
ENSG00000197568,ENSG00000151445,1007,14_77941455,VIPAS39,HHLA3
ENSG00000204150,ENSG00000188234,422,10_45923528,AGAP4,ENSG00000204150
ENSG00000204196,ENSG00000197958,3415,9_130196537,RPL12,RPL12P16
ENSG00000204592,ENSG00000117151,332,1_85081690,CTBS,HLA-E
