parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
-6_6_0.5_3,0.999999999999544,2.5609912004983202e-259,0.0,0.0,0.999999999999544, , ,0.0,0.0,0.73, 
-6_6_1_2,0.999997078135841,0.0,0.0,1.99959339549635e-308,0.999997078135841, , ,0.0,0.0,0.27, 
-6_6_1_3,0.999999999989149,9.11402353619127e-249,0.0,0.0,0.999999999989149, , ,0.0,0.0,0.12, 
-6_5_0.5_2,0.999999999584134,0.0,0.0,0.0,0.999999999584134, , ,0.0,0.0,1.0, 
-6_5_0.5_3,0.999999998285348,9.207477787470799e-231,0.0,0.0,0.999999998285348, , ,0.0,0.0,0.13, 
-6_5_1_2,0.984845167476527,0.0,0.0,8.21266973438115e-260,0.984845167476527, , ,0.0,0.0,0.09, 
-6_5_1_3,0.999999999999998,6.4087343598686e-230,0.0,1.87843807542954e-290,0.999999999999998, , ,0.0,0.0,1.0, 
-6_3_0.5_2,0.999999999942971,7.70223693758508e-252,0.0,1.09930304015133e-275,0.999999999942971, , ,0.0,0.0,0.84, 
-6_3_0.5_3,0.999999988728203,2.1267425817227898e-153,0.0,5.4316591398977394e-177,0.999999988728203, , ,0.0,0.0,0.35, 
-6_3_1_2,0.0107514809572344,5.84337990640272e-232,0.0,1.9186761129573202e-157,0.0107514809572344,causal, ,0.0,0.0,0.03,causal
-6_3_1_3,1.12645410836938e-12,3.19295146864081e-159,0.0,3.46047684022946e-104,1.12645410836938e-12,causal, ,0.0,0.0,0.0,causal
-6_2_0.5_2,0.0504993372852536,9.19173638797826e-162,0.0,4.4655858054194304e-120,0.0504993372852536, , ,0.0,0.0,0.47, 
-6_2_0.5_3,5.70102630056743e-38,2.20677888140917e-109,0.0,5.70102630056743e-38,1.2011808432979902e-67,causal, ,0.0,0.0,0.0,causal
-6_2_1_2,2.7636344433991803e-58,5.69524037201621e-159,0.0,2.7636344433991803e-58,2.70946897769743e-64,causal, ,0.0,0.0,0.57, 
-6_2_1_3,1.76848221900677e-29,1.74503566096235e-108,0.0,1.76848221900677e-29,2.1005167611856698e-122,causal, ,0.0,0.0,0.0,causal
-6_4_0.5_2,0.999999998906049,8.31034384458344e-309,0.0,0.0,0.999999998906049, , ,0.0,0.0,0.64, 
-6_4_0.5_3,0.999999999948403,4.54862446646928e-196,0.0,1.68493334447491e-304,0.999999999948403, , ,0.0,0.0,0.0,causal
-6_4_1_2,0.531620699974861,1.47088249667681e-305,0.0,9.95984136163401e-215,0.531620699974861, , ,0.0,0.0,0.94, 
-6_4_1_3,0.999999998602537,2.75239975004783e-208,0.0,3.8726819055772e-223,0.999999998602537, , ,0.0,0.0,0.12, 
-4_6_0.5_2,0.999999999999846,2.88514298020117e-301,0.0,0.0,0.999999999999846, , ,0.0,0.0,0.01,causal
-4_6_0.5_3,0.999999999995308,3.5034398524053304e-198,0.0,0.0,0.999999999995308, , ,0.0,0.0,0.37, 
-4_6_1_2,0.999999999997137,1.2052314841155e-311,3.16883450902016e-257,0.0,0.999999999997137, , ,0.0,0.0,1.0, 
-4_6_1_3,0.999999999999878,9.382659393328891e-198,0.0,0.0,0.999999999999878, , ,0.0,0.0,0.0,causal
-4_5_0.5_2,0.99999999999966,8.12580706115998e-288,0.0,0.0,0.99999999999966, , ,0.0,0.0,0.98, 
-4_5_0.5_3,0.999999999995143,1.70428680388519e-179,0.0,0.0,0.999999999995143, , ,0.0,0.0,0.99, 
-4_5_1_2,0.999999995727828,1.32002594029424e-269,5.7818274966077696e-288,1e-323,0.999999995727828, , ,0.0,0.0,1.0, 
-4_5_1_3,0.99999999998613,8.35818856849047e-182,0.0,0.0,0.99999999998613, , ,0.0,0.0,0.98, 
-4_3_0.5_2,0.999999999919389,9.93221498002169e-220,0.0,1.20660992858946e-310,0.999999999919389, , ,0.0,0.0,0.0,causal
-4_3_0.5_3,0.999958367292599,1.07270453134225e-124,0.0,3.65507778756661e-166,0.999958367292599, , ,0.0,0.0,0.0,causal
-4_3_1_2,3.92260428298095e-06,2.41913224486931e-212,0.0,7.69397228432189e-170,3.92260428298095e-06,causal, ,0.0,0.0,0.0,causal
-4_3_1_3,0.0079534339501492,3.44823387708376e-138,0.0,4.0769156506041496e-138,0.0079534339501492,causal, ,0.0,0.0,0.0,causal
-4_2_0.5_2,0.992366633898388,1.7026646204496501e-155,0.0,9.077842552572158e-158,0.992366633898388, , ,0.0,0.0,0.0,causal
-4_2_0.5_3,1.79131044509008e-30,3.07146155124615e-101,0.0,1.79131044509008e-30,7.6931251589177e-184,causal, ,0.0,0.0,0.0,causal
-4_2_1_2,3.9663709019898e-31,7.50312739123319e-141,0.0,4.54781720989602e-86,3.9663709019898e-31,causal, ,0.0,0.0,0.0,causal
-4_2_1_3,8.910858284203159e-36,3.90123533788626e-94,0.0,8.910858284203159e-36,4.65336789532609e-98,causal, ,0.0,0.0,0.95, 
-4_4_0.5_2,0.99999999999398,6.686048281986769e-246,0.0,0.0,0.99999999999398, , ,0.0,0.0,0.86, 
-4_4_0.5_3,0.999999999956808,1.06402221670997e-158,0.0,0.0,0.999999999956808, , ,0.0,0.0,0.0,causal
-4_4_1_2,0.667668300558063,3.6366843918401e-265,1.23567304923309e-309,2.97968305451032e-248,0.667668300558063, , ,0.0,0.0,0.97, 
-4_4_1_3,1.0,1.8775468741409798e-158,0.0,1.02900064080594e-248,1.0, , ,0.0,0.0,1.0, 
-3_6_0.5_2,0.999999999999966,8.61737908277883e-274,0.0,0.0,0.999999999999966, , ,0.0,0.0,0.03,causal
-3_6_0.5_3,0.999999999937009,5.865614787685979e-163,0.0,0.0,0.999999999937009, , ,0.0,0.0,0.0,causal
-3_6_1_2,0.99999999999735,8.74360348616983e-249,9.07617271196249e-206,0.0,0.99999999999735, , ,0.0,0.0,0.0,causal
-3_6_1_3,1.0,1.42161540286583e-156,0.0,0.0,1.0, , ,0.0,0.0,0.3, 
-3_5_0.5_2,0.999999984827023,1.3400370253745199e-230,0.0,0.0,0.999999984827023, , ,0.0,0.0,0.03,causal
-3_5_0.5_3,0.999999999999999,2.52616767877597e-142,0.0,0.0,0.999999999999999, , ,0.0,0.0,0.0,causal
-3_5_1_2,0.99999936412102,8.039136709332429e-234,9.42987851482163e-225,0.0,0.99999936412102, , ,0.0,0.0,0.01,causal
-3_5_1_3,0.999999999446101,3.62097425867332e-144,0.0,0.0,0.999999999446101, , ,0.0,0.0,0.0,causal
-3_3_0.5_2,0.999999999999996,8.67878822854175e-184,0.0,0.0,0.999999999999996, , ,0.0,0.0,0.0,causal
-3_3_0.5_3,0.999998653851076,2.44135737824524e-102,0.0,4.22508717514409e-186,0.999998653851076, , ,0.0,0.0,0.0,causal
-3_3_1_2,0.0006544586002622,6.29708012097013e-175,4.9789392455625504e-279,1.26456660780748e-190,0.0006544586002622,causal, ,0.0,0.0,0.0,causal
-3_3_1_3,0.393593715496605,2.27244589515203e-125,0.0,5.97090913164668e-166,0.393593715496605, , ,0.0,0.0,0.0,causal
-3_2_0.5_2,0.0137077197008401,4.75699916286097e-137,0.0,2.18040609115415e-133,0.0137077197008401,causal, ,0.0,0.0,0.0,causal
-3_2_0.5_3,1.53803767326421e-38,1.57130245195131e-93,0.0,2.80207598147889e-53,1.53803767326421e-38,causal, ,0.0,0.0,0.0,causal
-3_2_1_2,1.91524467241944e-16,9.74989790055591e-130,0.0,8.50921744796591e-106,1.91524467241944e-16,causal, ,0.0,0.0,0.0,causal
-3_2_1_3,2.14232515873922e-34,2.13375120892985e-88,0.0,2.00073747221014e-68,2.14232515873922e-34,causal, ,0.0,0.0,0.0,causal
-3_4_0.5_2,0.999999999853577,7.6155524694980194e-208,0.0,0.0,0.999999999853577, , ,0.0,0.0,0.01,causal
-3_4_0.5_3,0.999999999756143,1.12389156599963e-136,0.0,0.0,0.999999999756143, , ,0.0,0.0,1.0, 
-3_4_1_2,0.790830066655719,3.00508097245119e-218,4.38265734869449e-251,4.89722074918935e-263,0.790830066655719, , ,0.0,0.0,0.0,causal
-3_4_1_3,0.999999999999987,3.48680065371827e-135,0.0,7.311375921096361e-261,0.999999999999987, , ,0.0,0.0,1.0, 
-7_6_0.5_2,0.999999999336361,0.0,0.0,0.0,0.999999999336361, , ,0.0,0.0,0.17, 
-7_6_0.5_3,0.999999999870983,6.49844680837037e-277,0.0,0.0,0.999999999870983, , ,0.0,0.0,0.67, 
-7_6_1_2,0.582637000056818,0.0,0.0,5.91888913657703e-257,0.582637000056818, , ,0.0,0.0,0.0,causal
-7_6_1_3,0.999999999995302,1.0937624673326901e-269,0.0,0.0,0.999999999995302, , ,0.0,0.0,0.04,causal
-7_5_0.5_2,1.0,0.0,0.0,0.0,1.0, , ,0.0,0.0,0.05, 
-7_5_0.5_3,0.99999999999985,1.4955467775519e-243,0.0,0.0,0.99999999999985, , ,0.0,0.0,0.01,causal
-7_5_1_2,0.267269139449021,0.0,0.0,1.20064468803292e-227,0.267269139449021, , ,0.0,0.0,0.88, 
-7_5_1_3,0.999999999999913,1.33686559423584e-249,0.0,9.355029601761859e-296,0.999999999999913, , ,0.0,0.0,0.01,causal
-7_3_0.5_2,0.999999999999937,5.997490238505909e-252,0.0,9.58907371997106e-272,0.999999999999937, , ,0.0,0.0,0.28, 
-7_3_0.5_3,1.0,1.7355592014145698e-178,0.0,2.06146293963491e-217,1.0, , ,0.0,0.0,0.76, 
-7_3_1_2,8.128707056279421e-17,1.22472150879593e-263,0.0,5.81270303576574e-128,8.128707056279421e-17,causal, ,0.0,0.0,0.04,causal
-7_3_1_3,0.0316799117529169,1.36753452179697e-160,0.0,3.51749503150601e-129,0.0316799117529169,causal, ,0.0,0.0,0.78, 
-7_2_0.5_2,0.0007228936024003,5.532701367797481e-198,0.0,1.17404991139062e-114,0.0007228936024003,causal, ,0.0,0.0,0.12, 
-7_2_0.5_3,4.59306005517803e-41,5.1875904425146996e-129,0.0,4.59306005517803e-41,1.01673162700438e-42,causal, ,0.0,0.0,0.78, 
-7_2_1_2,1.00620244814445e-33,5.42294638477101e-166,0.0,1.31981027999302e-67,1.00620244814445e-33,causal, ,0.0,0.0,0.76, 
-7_2_1_3,6.16852977836851e-24,1.6564038544989402e-112,0.0,6.16852977836851e-24,2.96503844001756e-137,causal, ,0.0,0.0,0.01,causal
-7_4_0.5_2,0.999999999999918,0.0,0.0,0.0,0.999999999999918, , ,0.0,0.0,0.05, 
-7_4_0.5_3,0.999999999999988,5.98410734924027e-210,0.0,2.29129648445945e-281,0.999999999999988, , ,0.0,0.0,0.04,causal
-7_4_1_2,0.0044459395036388,5.12589483035928e-307,0.0,1.4318289135422098e-185,0.0044459395036388,causal, ,0.0,0.0,0.98, 
-7_4_1_3,0.999999999999874,1.48671354941561e-202,0.0,4.29064583937911e-218,0.999999999999874, , ,0.0,0.0,1.0, 
